sample,date,country,city,latitude,longitude
SRR19707934,2022-01-09,United States,San Diego,32.719875,-117.170082
SRR18541027,2022-01-04,United States,San Diego,32.719875,-117.170082
SRR18541028,2021-12-27,United States,San Diego,32.719875,-117.170082
SRR18541029,2022-01-17,United States,San Diego,32.719875,-117.170082
SRR18541030,2022-01-23,United States,San Diego,32.719875,-117.170082
SRR18541041,2021-12-05,United States,San Diego,32.719875,-117.170082
SRR18541042,2021-12-06,United States,San Diego,32.719875,-117.170082
SRR18541043,2021-12-26,United States,San Diego,32.719875,-117.170082
SRR18541044,2021-12-16,United States,San Diego,32.719875,-117.170082
SRR18541045,2021-12-12,United States,San Diego,32.719875,-117.170082
SRR18541049,2021-11-28,United States,San Diego,32.719875,-117.170082
SRR18541074,2021-12-01,United States,San Diego,32.719875,-117.170082
SRR18541078,2021-10-10,United States,San Diego,32.719875,-117.170082
SRR18541088,2021-09-22,United States,San Diego,32.719875,-117.170082
SRR18541089,2021-09-22,United States,San Diego,32.719875,-117.170082
SRR18541092,2021-09-05,United States,San Diego,32.719875,-117.170082
SRR18541094,2021-09-08,United States,Caernarvon Township,40.143989,-75.937658
SRR18541095,2021-09-08,United States,Caernarvon Township,40.143989,-75.937658
SRR18541096,2021-09-07,United States,Caernarvon Township,40.143989,-75.937658
SRR18541097,2021-09-13,United States,Caernarvon Township,40.143989,-75.937658
SRR18541098,2021-09-13,United States,Caernarvon Township,40.143989,-75.937658
SRR18541099,2021-09-07,United States,Caernarvon Township,40.143989,-75.937658
SRR18541102,2021-09-06,United States,Caernarvon Township,40.143989,-75.937658
SRR18541103,2021-09-03,United States,Caernarvon Township,40.143989,-75.937658
SRR18541105,2021-09-03,United States,Caernarvon Township,40.143989,-75.937658
SRR18541106,2021-09-12,United States,Caernarvon Township,40.143989,-75.937658
SRR18541107,2021-09-12,United States,Caernarvon Township,40.143989,-75.937658
SRR18541113,2021-09-06,United States,San Diego,32.719875,-117.170082
SRR18541114,2021-09-06,United States,San Diego,32.719875,-117.170082
