seqID	patternName	pattern	strand	start	end
CH01	N+	N+	+	1	54
CH01	N+	N+	+	1193	1264
CH01	N+	N+	+	4143	4322
CH01	N+	N+	+	6248	6294
CH01	N+	N+	+	7561	7561
CH01	N+	N+	+	9243	9311
CH01	N+	N+	+	10367	10367
CH01	N+	N+	+	11361	11370
CH01	N+	N+	+	13599	13613
CH01	N+	N+	+	16699	16758
CH01	N+	N+	+	20531	20551
CH01	N+	N+	+	21621	21670
CH01	N+	N+	+	23480	23507
CH01	N+	N+	+	25626	25679
CH01	N+	N+	+	26828	26839
CH01	N+	N+	+	29636	29873
CH02	N+	N+	+	1	54
CH02	N+	N+	+	386	467
CH02	N+	N+	+	623	664
CH02	N+	N+	+	1193	1264
CH02	N+	N+	+	2204	2205
CH02	N+	N+	+	4143	4322
CH02	N+	N+	+	5621	5894
CH02	N+	N+	+	6248	6294
CH02	N+	N+	+	9243	9310
CH02	N+	N+	+	11361	11369
CH02	N+	N+	+	13599	13613
CH02	N+	N+	+	16699	16758
CH02	N+	N+	+	20220	20275
CH02	N+	N+	+	20531	20553
CH02	N+	N+	+	21620	21670
CH02	N+	N+	+	23480	23508
CH02	N+	N+	+	25626	25680
CH02	N+	N+	+	26828	26839
CH02	N+	N+	+	29751	29873
CH03	N+	N+	+	1	54
CH03	N+	N+	+	386	664
CH03	N+	N+	+	1195	1264
CH03	N+	N+	+	4143	4322
CH03	N+	N+	+	6248	6294
CH03	N+	N+	+	9243	9309
CH03	N+	N+	+	11361	11370
CH03	N+	N+	+	13599	13613
CH03	N+	N+	+	16699	16758
CH03	N+	N+	+	20531	20552
CH03	N+	N+	+	21621	21670
CH03	N+	N+	+	23480	23507
CH03	N+	N+	+	25626	25680
CH03	N+	N+	+	26828	26839
CH03	N+	N+	+	28616	28669
CH03	N+	N+	+	29751	29873
CH04	N+	N+	+	1	54
CH04	N+	N+	+	512	520
CH04	N+	N+	+	1195	2205
CH04	N+	N+	+	4143	4322
CH04	N+	N+	+	5297	6293
CH04	N+	N+	+	9243	9311
CH04	N+	N+	+	11361	11369
CH04	N+	N+	+	13599	13613
CH04	N+	N+	+	16699	16758
CH04	N+	N+	+	18025	18049
CH04	N+	N+	+	18222	18263
CH04	N+	N+	+	20138	20552
CH04	N+	N+	+	21620	21670
CH04	N+	N+	+	22240	22240
